seed,dataset,algorithm,fold
42,optdigits,CBM_KE,6
42,optdigits,CBM_KE,9
43,optdigits,CBM,1
42,kr-vs-kp,CBM,4
43,phoneme,CBM,2
42,spambase,CBM_KE,2
43,spambase,CBM,7
43,optdigits,CBM,4
42,spambase,CBM_KE,9
44,wine-quality,CBM_KE,2
43,kr-vs-kp,CBM_KE,5
44,wine-quality,CBM,4
44,wine-quality,CBM_KE,0
44,spambase,CBM,8
42,wine-quality,CBM_KE,7
42,optdigits,CBM_KE,5
42,wine-quality,CBM_KE,5
42,kr-vs-kp,CBM,7
44,kr-vs-kp,CBM_KE,0
44,wine-quality,CBM_KE,5
44,wine-quality,CBM_KE,1
44,spambase,CBM,2
42,optdigits,CBM_KE,8
42,optdigits,CBM_KE,3
44,wine-quality,CBM_KE,6
42,spambase,CBM_KE,0
43,page-blocks,CBM,2
42,kr-vs-kp,CBM,8
43,page-blocks,CBM,3
43,page-blocks,CBM,8
43,spambase,CBM,6
42,kr-vs-kp,CBM,0
43,kr-vs-kp,CBM_KE,0
43,page-blocks,CBM,6
42,kr-vs-kp,CBM,5
43,page-blocks,CBM,0
43,page-blocks,CBM,7
43,page-blocks,CBM,9
42,spambase,CBM_KE,5
42,kr-vs-kp,CBM,1
43,page-blocks,CBM,4
44,kr-vs-kp,CBM_KE,7
43,kr-vs-kp,CBM_KE,3
42,kr-vs-kp,CBM,9
43,page-blocks,CBM,1
43,kr-vs-kp,CBM_KE,2
44,kr-vs-kp,CBM_KE,3
42,spambase,CBM_KE,4
42,kr-vs-kp,CBM,2
42,kr-vs-kp,CBM,6
44,kr-vs-kp,CBM_KE,5
43,page-blocks,CBM,5
44,kr-vs-kp,CBM,0
44,kr-vs-kp,CBM,1
43,kr-vs-kp,CBM,2
44,kr-vs-kp,CBM,4
42,kr-vs-kp,CBM,3
44,kr-vs-kp,CBM,7
44,kr-vs-kp,CBM,3
44,kr-vs-kp,CBM_KE,6
43,kr-vs-kp,CBM,3
43,kr-vs-kp,CBM_KE,9
43,kr-vs-kp,CBM,6
43,kr-vs-kp,CBM_KE,4
42,segment,CBM,8
43,kr-vs-kp,CBM_KE,7
42,kr-vs-kp,CBM_KE,8
42,segment,CBM,0
42,segment,CBM,2
44,segment,CBM_KE,6
42,segment,CBM,1
