seed,dataset,algorithm,fold
44,spambase,XGBoost_T,7
43,spambase,XGBoost_T,6
44,spambase,XGBoost_T,2
44,spambase,XGBoost_T,0
44,spambase,XGBoost_T,8
44,spambase,XGBoost_T,9
43,spambase,XGBoost_T,8
44,spambase,XGBoost_T,3
43,spambase,XGBoost_T,5
43,spambase,XGBoost_T,7
44,spambase,XGBoost_T,1
44,spambase,XGBoost_T,5
43,spambase,XGBoost_T,0
43,spambase,XGBoost_T,2
44,spambase,XGBoost_T,6
44,spambase,XGBoost_T,4
43,spambase,XGBoost_T,3
43,spambase,XGBoost_T,1
44,page-blocks,FIGS_T,0
44,page-blocks,FIGS_T,1
42,page-blocks,FIGS_T,6
42,page-blocks,FIGS_T,3
42,page-blocks,FIGS_T,2
42,page-blocks,FIGS_T,4
43,page-blocks,FIGS_T,2
43,page-blocks,FIGS_T,4
43,page-blocks,FIGS_T,3
43,page-blocks,FIGS_T,1
44,page-blocks,FIGS_T,3
42,page-blocks,FIGS_T,8
44,page-blocks,FIGS_T,4
44,page-blocks,FIGS_T,2
42,page-blocks,FIGS_T,9
44,page-blocks,FIGS_T,6
44,page-blocks,FIGS_T,5
44,page-blocks,FIGS_T,7
42,page-blocks,FIGS_T,5
42,page-blocks,FIGS_T,7
42,page-blocks,FIGS_T,0
43,page-blocks,FIGS_T,8
43,page-blocks,FIGS_T,6
43,page-blocks,FIGS_T,7
42,page-blocks,FIGS_T,1
44,page-blocks,FIGS_T,9
43,page-blocks,FIGS_T,9
43,page-blocks,FIGS_T,5
44,page-blocks,FIGS_T,8
43,page-blocks,FIGS_T,0
42,phoneme,CatBoost_T,7
42,phoneme,CatBoost_T,9
43,phoneme,CatBoost_T,8
42,phoneme,CatBoost_T,8
43,phoneme,CatBoost_T,3
43,phoneme,CatBoost_T,5
42,phoneme,CatBoost_T,2
42,phoneme,CatBoost_T,3
42,phoneme,CatBoost_T,5
42,phoneme,CatBoost_T,4
42,phoneme,CatBoost_T,1
42,phoneme,CatBoost_T,0
44,phoneme,CatBoost_T,2
44,phoneme,CatBoost_T,3
43,phoneme,CatBoost_T,4
42,phoneme,CatBoost_T,6
43,phoneme,CatBoost_T,1
44,phoneme,CatBoost_T,4
44,phoneme,CatBoost_T,9
43,phoneme,CatBoost_T,6
44,phoneme,CatBoost_T,5
43,phoneme,CatBoost_T,0
44,phoneme,CatBoost_T,0
43,phoneme,CatBoost_T,2
43,phoneme,CatBoost_T,7
43,phoneme,CatBoost_T,9
44,phoneme,CatBoost_T,1
44,phoneme,CatBoost_T,8
44,phoneme,CatBoost_T,7
44,phoneme,CatBoost_T,6
43,segment,XGBoost_T,6
43,segment,XGBoost_T,8
44,segment,XGBoost_T,2
42,segment,XGBoost_T,5
44,segment,XGBoost_T,6
43,segment,XGBoost_T,0
43,segment,XGBoost_T,4
42,segment,XGBoost_T,7
42,segment,XGBoost_T,3
42,segment,XGBoost_T,0
42,segment,XGBoost_T,2
42,segment,XGBoost_T,6
42,segment,XGBoost_T,4
42,segment,XGBoost_T,9
42,segment,XGBoost_T,1
44,segment,XGBoost_T,3
43,segment,XGBoost_T,2
44,segment,XGBoost_T,1
43,segment,XGBoost_T,1
44,segment,XGBoost_T,9
44,segment,XGBoost_T,7
44,segment,XGBoost_T,0
43,segment,XGBoost_T,3
44,segment,XGBoost_T,8
43,segment,XGBoost_T,7
43,segment,XGBoost_T,5
43,segment,XGBoost_T,9
42,segment,XGBoost_T,8
44,segment,XGBoost_T,5
44,segment,XGBoost_T,4
42,vehicle,LightGBM_T,4
42,vehicle,LightGBM_T,2
42,vehicle,LightGBM_T,0
43,vehicle,LightGBM_T,3
43,vehicle,LightGBM_T,4
43,vehicle,LightGBM_T,1
44,vehicle,LightGBM_T,1
44,vehicle,LightGBM_T,2
42,vehicle,LightGBM_T,3
42,vehicle,LightGBM_T,5
44,vehicle,LightGBM_T,4
44,vehicle,LightGBM_T,5
43,vehicle,LightGBM_T,0
42,vehicle,LightGBM_T,7
44,vehicle,LightGBM_T,7
42,vehicle,LightGBM_T,1
44,vehicle,LightGBM_T,9
44,vehicle,LightGBM_T,8
43,vehicle,LightGBM_T,8
43,vehicle,LightGBM_T,9
43,vehicle,LightGBM_T,6
43,vehicle,LightGBM_T,7
43,vehicle,LightGBM_T,5
44,vehicle,LightGBM_T,0
42,vehicle,LightGBM_T,8
42,vehicle,LightGBM_T,9
42,vehicle,LightGBM_T,6
43,vehicle,LightGBM_T,2
44,vehicle,LightGBM_T,3
44,vehicle,LightGBM_T,6
42,bank,XGBoost_T,8
42,bank,XGBoost_T,9
44,bank,XGBoost_T,7
44,bank,XGBoost_T,4
43,bank,XGBoost_T,0
43,bank,XGBoost_T,9
43,bank,XGBoost_T,2
43,bank,XGBoost_T,8
43,bank,XGBoost_T,5
44,bank,XGBoost_T,3
44,bank,XGBoost_T,5
44,bank,XGBoost_T,6
42,bank,XGBoost_T,6
42,bank,XGBoost_T,5
43,bank,XGBoost_T,4
42,bank,XGBoost_T,4
42,bank,XGBoost_T,7
42,bank,XGBoost_T,0
42,bank,XGBoost_T,2
42,bank,XGBoost_T,1
44,bank,XGBoost_T,8
44,bank,XGBoost_T,9
43,bank,XGBoost_T,6
42,bank,XGBoost_T,3
44,bank,XGBoost_T,2
43,bank,XGBoost_T,1
44,bank,XGBoost_T,1
44,bank,XGBoost_T,0
43,bank,XGBoost_T,3
43,bank,XGBoost_T,7
43,magic,XGBoost_T,2
43,magic,XGBoost_T,1
43,magic,XGBoost_T,5
43,magic,XGBoost_T,6
43,magic,XGBoost_T,0
43,magic,XGBoost_T,4
43,magic,XGBoost_T,7
43,magic,XGBoost_T,8
43,magic,XGBoost_T,9
42,magic,XGBoost_T,5
42,magic,XGBoost_T,6
43,magic,XGBoost_T,3
42,magic,XGBoost_T,8
42,magic,XGBoost_T,0
42,magic,XGBoost_T,3
42,magic,XGBoost_T,4
42,magic,XGBoost_T,7
44,magic,XGBoost_T,6
44,magic,XGBoost_T,2
42,magic,XGBoost_T,1
42,magic,XGBoost_T,2
44,magic,XGBoost_T,5
44,magic,XGBoost_T,4
42,magic,XGBoost_T,9
44,magic,XGBoost_T,1
44,magic,XGBoost_T,3
44,magic,XGBoost_T,8
44,magic,XGBoost_T,7
44,magic,XGBoost_T,9
44,magic,XGBoost_T,0
42,magic,LightGBM_T,5
42,magic,LightGBM_T,9
42,magic,LightGBM_T,1
42,magic,LightGBM_T,2
42,magic,LightGBM_T,6
42,magic,LightGBM_T,0
42,magic,LightGBM_T,3
42,magic,LightGBM_T,4
42,magic,LightGBM_T,8
42,magic,LightGBM_T,7
43,magic,LightGBM_T,3
44,magic,LightGBM_T,0
43,magic,LightGBM_T,0
44,magic,LightGBM_T,3
43,magic,LightGBM_T,2
43,magic,LightGBM_T,1
43,magic,LightGBM_T,6
43,magic,LightGBM_T,5
43,magic,LightGBM_T,8
43,magic,LightGBM_T,7
43,magic,LightGBM_T,9
43,magic,LightGBM_T,4
44,magic,LightGBM_T,4
44,magic,LightGBM_T,2
44,magic,LightGBM_T,1
44,magic,LightGBM_T,5
44,magic,LightGBM_T,9
44,magic,LightGBM_T,6
44,magic,LightGBM_T,7
44,magic,LightGBM_T,8
42,tic-tac-toe,CatBoost_T,2
44,tic-tac-toe,CatBoost_T,2
42,tic-tac-toe,CatBoost_T,0
42,tic-tac-toe,CatBoost_T,6
43,tic-tac-toe,CatBoost_T,6
42,tic-tac-toe,CatBoost_T,1
42,tic-tac-toe,CatBoost_T,4
42,tic-tac-toe,CatBoost_T,5
43,tic-tac-toe,CatBoost_T,4
43,tic-tac-toe,CatBoost_T,7
44,tic-tac-toe,CatBoost_T,0
43,tic-tac-toe,CatBoost_T,5
44,tic-tac-toe,CatBoost_T,5
44,tic-tac-toe,CatBoost_T,8
44,tic-tac-toe,CatBoost_T,3
44,tic-tac-toe,CatBoost_T,6
44,tic-tac-toe,CatBoost_T,7
44,tic-tac-toe,CatBoost_T,9
44,tic-tac-toe,CatBoost_T,4
44,tic-tac-toe,CatBoost_T,1
42,tic-tac-toe,CatBoost_T,8
42,tic-tac-toe,CatBoost_T,7
43,tic-tac-toe,CatBoost_T,2
43,tic-tac-toe,CatBoost_T,1
43,tic-tac-toe,CatBoost_T,3
43,tic-tac-toe,CatBoost_T,0
43,tic-tac-toe,CatBoost_T,8
43,tic-tac-toe,CatBoost_T,9
42,tic-tac-toe,CatBoost_T,9
42,tic-tac-toe,CatBoost_T,3
43,segment,FIGS_T,9
43,segment,FIGS_T,8
42,segment,FIGS_T,1
42,segment,FIGS_T,2
42,segment,FIGS_T,4
42,segment,FIGS_T,3
42,segment,FIGS_T,0
42,segment,FIGS_T,9
42,segment,FIGS_T,8
42,segment,FIGS_T,7
42,segment,FIGS_T,5
42,segment,FIGS_T,6
44,segment,FIGS_T,1
44,segment,FIGS_T,8
44,segment,FIGS_T,4
44,segment,FIGS_T,0
44,segment,FIGS_T,5
44,segment,FIGS_T,9
44,segment,FIGS_T,6
44,segment,FIGS_T,7
44,segment,FIGS_T,3
44,segment,FIGS_T,2
43,segment,FIGS_T,1
43,segment,FIGS_T,2
43,segment,FIGS_T,0
43,segment,FIGS_T,7
43,segment,FIGS_T,6
43,segment,FIGS_T,5
43,segment,FIGS_T,4
43,segment,FIGS_T,3
43,credit-g,CatBoost_T,9
43,credit-g,CatBoost_T,8
43,credit-g,CatBoost_T,2
43,credit-g,CatBoost_T,7
43,credit-g,CatBoost_T,6
43,credit-g,CatBoost_T,3
43,credit-g,CatBoost_T,4
43,credit-g,CatBoost_T,5
43,credit-g,CatBoost_T,1
43,credit-g,CatBoost_T,0
44,credit-g,CatBoost_T,8
44,credit-g,CatBoost_T,9
44,credit-g,CatBoost_T,6
44,credit-g,CatBoost_T,7
