seed,dataset,algorithm,fold
44,mfeat-factors,CBM_KE,5
42,car,CBM_KE,3
42,segment,CBM_KE,4
42,car,CBM_KE,6
42,mfeat-factors,CBM_KE,4
43,mfeat-factors,CBM_KE,4
43,mfeat-factors,CBM_KE,1
42,segment,CBM_KE,8
42,car,CBM_KE,8
42,car,CBM_KE,9
42,segment,CBM_KE,2
42,segment,CBM_KE,0
42,segment,CBM_KE,6
43,car,CBM_KE,4
43,car,CBM_KE,6
43,car,CBM_KE,9
43,car,CBM_KE,8
44,car,CBM_KE,8
43,car,CBM_KE,3
43,car,CBM_KE,2
44,mfeat-factors,CBM_KE,3
43,car,CBM_KE,1
43,car,CBM_KE,0
43,car,CBM_KE,7
43,car,CBM_KE,5
44,car,CBM_KE,9
42,mfeat-factors,CBM_KE,5
42,mfeat-factors,CBM_KE,7
44,car,CBM_KE,5
44,car,CBM_KE,2
42,mfeat-factors,CBM_KE,3
44,car,CBM_KE,4
44,car,CBM_KE,0
42,mfeat-factors,CBM_KE,6
42,mfeat-factors,CBM_KE,2
42,mfeat-factors,CBM_KE,1
42,mfeat-factors,CBM_KE,0
44,car,CBM_KE,7
44,car,CBM_KE,3
44,car,CBM_KE,6
44,car,CBM_KE,1
42,mfeat-factors,CBM_KE,8
42,mfeat-factors,CBM_KE,9
42,vehicle,CBM_KE,7
42,vehicle,CBM_KE,2
42,vehicle,CBM_KE,6
43,credit-g,CBM_KE,8
42,vehicle,CBM_KE,5
42,vehicle,CBM_KE,3
42,vehicle,CBM_KE,9
42,vehicle,CBM_KE,4
43,tic-tac-toe,CBM_KE,5
43,tic-tac-toe,CBM_KE,1
44,tic-tac-toe,CBM_KE,0
42,vehicle,CBM_KE,8
44,tic-tac-toe,CBM_KE,2
44,credit-g,CBM_KE,6
42,vehicle,CBM_KE,0
43,tic-tac-toe,CBM_KE,6
43,tic-tac-toe,CBM_KE,8
43,tic-tac-toe,CBM_KE,3
43,tic-tac-toe,CBM_KE,7
44,credit-g,CBM_KE,4
43,tic-tac-toe,CBM_KE,9
43,tic-tac-toe,CBM_KE,4
44,credit-g,CBM_KE,7
43,vehicle,CBM_KE,1
44,credit-g,CBM_KE,9
42,vehicle,CBM_KE,1
44,credit-g,CBM_KE,0
44,tic-tac-toe,CBM_KE,4
44,credit-g,CBM_KE,5
43,credit-g,CBM_KE,9
43,credit-g,CBM_KE,6
44,tic-tac-toe,CBM_KE,7
44,credit-g,CBM_KE,1
43,credit-g,CBM_KE,1
43,tic-tac-toe,CBM_KE,2
43,vehicle,CBM_KE,3
44,blood,CBM_KE,4
43,credit-g,CBM_KE,5
43,vehicle,CBM_KE,8
44,tic-tac-toe,CBM_KE,9
44,tic-tac-toe,CBM_KE,8
43,credit-g,CBM_KE,3
44,vehicle,CBM_KE,7
44,tic-tac-toe,CBM_KE,5
44,tic-tac-toe,CBM_KE,3
43,vehicle,CBM_KE,2
43,credit-g,CBM_KE,2
43,vehicle,CBM_KE,4
44,credit-g,CBM_KE,2
43,tic-tac-toe,CBM_KE,0
44,tic-tac-toe,CBM_KE,1
43,credit-g,CBM_KE,7
44,blood,CBM_KE,5
43,vehicle,CBM_KE,7
43,credit-g,CBM_KE,0
42,credit-g,CBM_KE,6
43,vehicle,CBM_KE,6
44,diabetes,CBM_KE,4
43,vehicle,CBM_KE,5
44,tic-tac-toe,CBM_KE,6
44,diabetes,CBM_KE,0
44,vehicle,CBM_KE,1
44,blood,CBM_KE,7
43,vehicle,CBM_KE,0
44,vehicle,CBM_KE,8
43,credit-g,CBM_KE,4
44,credit-g,CBM_KE,8
44,blood,CBM_KE,9
42,credit-g,CBM_KE,3
43,vehicle,CBM_KE,9
44,vehicle,CBM_KE,3
42,credit-g,CBM_KE,1
44,credit-g,CBM_KE,3
44,vehicle,CBM_KE,5
44,diabetes,CBM_KE,5
42,credit-g,CBM_KE,8
44,vehicle,CBM_KE,9
44,blood,CBM_KE,6
44,vehicle,CBM_KE,6
42,tic-tac-toe,CBM_KE,0
44,vehicle,CBM_KE,4
43,diabetes,CBM_KE,6
44,diabetes,CBM_KE,7
44,blood,CBM_KE,1
44,blood,CBM_KE,0
44,vehicle,CBM_KE,2
44,blood,CBM_KE,3
42,credit-g,CBM_KE,5
42,credit-g,CBM_KE,4
43,diabetes,CBM_KE,0
44,diabetes,CBM_KE,9
44,blood,CBM_KE,2
44,balance-scale,CBM_KE,3
44,vehicle,CBM_KE,0
42,tic-tac-toe,CBM_KE,2
44,balance-scale,CBM_KE,1
44,balance-scale,CBM_KE,5
44,diabetes,CBM_KE,3
42,tic-tac-toe,CBM_KE,5
44,diabetes,CBM_KE,2
43,diabetes,CBM_KE,7
43,diabetes,CBM_KE,8
44,diabetes,CBM_KE,8
43,diabetes,CBM_KE,1
42,tic-tac-toe,CBM_KE,1
43,diabetes,CBM_KE,3
44,balance-scale,CBM_KE,9
44,diabetes,CBM_KE,1
43,diabetes,CBM_KE,2
44,balance-scale,CBM_KE,8
43,balance-scale,CBM_KE,1
43,diabetes,CBM_KE,9
43,balance-scale,CBM_KE,8
43,diabetes,CBM_KE,5
44,balance-scale,CBM_KE,7
44,balance-scale,CBM_KE,0
43,balance-scale,CBM_KE,4
44,balance-scale,CBM_KE,2
43,diabetes,CBM_KE,4
42,credit-g,CBM_KE,0
42,credit-g,CBM_KE,7
43,blood,CBM_KE,5
44,balance-scale,CBM_KE,4
43,blood,CBM_KE,0
43,balance-scale,CBM_KE,5
44,blood,CBM_KE,8
43,blood,CBM_KE,6
43,balance-scale,CBM_KE,0
43,balance-scale,CBM_KE,2
44,wdbc,CBM_KE,5
44,wdbc,CBM_KE,1
44,balance-scale,CBM_KE,6
43,balance-scale,CBM_KE,6
42,credit-g,CBM_KE,2
43,blood,CBM_KE,1
42,tic-tac-toe,CBM_KE,3
44,wdbc,CBM_KE,4
42,tic-tac-toe,CBM_KE,7
42,diabetes,CBM_KE,5
44,diabetes,CBM_KE,6
42,credit-g,CBM_KE,9
42,tic-tac-toe,CBM_KE,9
43,blood,CBM_KE,8
43,balance-scale,CBM_KE,7
43,blood,CBM_KE,7
42,tic-tac-toe,CBM_KE,6
43,blood,CBM_KE,2
43,blood,CBM_KE,4
43,balance-scale,CBM_KE,9
42,diabetes,CBM_KE,2
44,wdbc,CBM_KE,9
42,tic-tac-toe,CBM_KE,8
42,diabetes,CBM_KE,9
43,balance-scale,CBM_KE,3
43,blood,CBM_KE,3
44,wdbc,CBM_KE,6
43,blood,CBM_KE,9
