Dataset,Algorithm,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_count,Accuracy_mean,Accuracy_std,Accuracy_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_macro_mean,F1_macro_std,F1_macro_count,MCC_mean,MCC_std,MCC_count
credit-g,RuleFit,0.7742698412698413,0.04225049261182129,30,0.735,0.037485629430397766,30,0.691592415287444,0.041542346154603026,30,0.6992857142857143,0.04260163756274636,30,0.692604767631374,0.04058642953573909,30,0.390440967140688,0.08202349250762077,30
credit-g,SVM_RBF,0.7915079365079365,0.05231658731423121,30,0.7253333333333334,0.04775897340008353,30,0.6906147549575733,0.04785325213904353,30,0.711111111111111,0.04906002574497847,30,0.6940033109454924,0.048997257494603194,30,0.40105537997420637,0.09618647088703486,30
credit-g,TabPFN,0.8013174603174603,0.0452531620114646,30,0.77,0.03300992536213607,30,0.7357094820699235,0.056163047946385165,30,0.689047619047619,0.03964223459424291,30,0.7010410081943695,0.04112427118145581,30,0.421015537140077,0.08717995945012044,30
credit-g,XGBoost,0.7695396825396826,0.05309845702662839,30,0.749,0.039684097396903185,30,0.7033240991678732,0.05504461219563009,30,0.6765873015873016,0.04400969535653993,30,0.6841006066360875,0.046042213325477165,30,0.37828062005789376,0.09522033668077746,30
diabetes,CBM,0.805994301994302,0.04853344979091285,30,0.737388926862611,0.0370878534474707,30,0.7189101988375831,0.03726197843577228,30,0.7272003798670466,0.036406703964520316,30,0.7187170535818945,0.03678670535871812,30,0.44586619612699824,0.07260728346521479,30
diabetes,CBM_KE,0.8027340930674264,0.044498262977955234,30,0.7473114604693553,0.045138909594783706,30,0.7275766244313876,0.051883755785922664,30,0.7191301044634378,0.05113040897948342,30,0.7185979928905042,0.05045413865066044,30,0.44565400112804004,0.09862340385327256,30
diabetes,CatBoost,0.8315792972459639,0.034351685863141926,30,0.7569776714513557,0.04255184124764614,30,0.7378547749433699,0.05238284542877364,30,0.7156258309591642,0.050506523486209674,30,0.7209427881110542,0.05032275106028841,30,0.4522951044854541,0.09968611776673468,30
diabetes,DT_depth3,0.8099088319088319,0.0464556107150527,30,0.702198678514468,0.04747841063009533,30,0.7219092587577998,0.04290243459371885,30,0.7387483380816715,0.04599094168522276,30,0.6983644528861391,0.04676215208017193,30,0.46030884918789444,0.08861000627986367,30
diabetes,DT_depth5,0.7917037037037037,0.04026957433926162,30,0.7239234449760765,0.040144273264357155,30,0.7146186656391567,0.03842799179487426,30,0.7300237416904083,0.04165375486828214,30,0.7113145509459186,0.040015820130641165,30,0.4443085556897418,0.07959392908596066,30
diabetes,EBM,0.8414890788224122,0.0311684970027289,30,0.760002278423331,0.03736074260096861,30,0.7448648045659415,0.04897462477371834,30,0.7162079772079772,0.04276715913403014,30,0.7225262863726147,0.042761835619419646,30,0.4592494078944578,0.08606134639551771,30
diabetes,FIGS,0.7825508072174738,0.03516455159348952,30,0.7448051948051949,0.038643244656776723,30,0.7263713535573726,0.04950133551463332,30,0.6990037986704654,0.04311839291076078,30,0.7045298661849358,0.04438132414649253,30,0.42348272656432223,0.08714437123405169,30
diabetes,KNN_k5,0.7713736942070276,0.03404947539488653,30,0.7352756892230576,0.030928118139344936,30,0.7128720594216119,0.04099635269886282,30,0.6899430199430199,0.03508554297873592,30,0.6949245793501386,0.035475030258500816,30,0.4015815933858951,0.07218195148666873,30
diabetes,LightGBM,0.7897996201329535,0.0360875858399965,30,0.7296764638869903,0.04660985035185717,30,0.7034655486739407,0.05253987849935392,30,0.6955251661918329,0.05649289284584153,30,0.69642500343183,0.05464187232237658,30,0.3985576166920045,0.10793234690962988,30
diabetes,LogReg,0.8338300094966762,0.034888790104427025,30,0.7547960811118706,0.04280717932209823,30,0.7367063411081421,0.043571039173986796,30,0.7469230769230769,0.041782651433825445,30,0.7380110092960481,0.043040364837021415,30,0.4834241124178554,0.08483534619434202,30
diabetes,MLP,0.8346486229819564,0.035219031258642425,30,0.7722089314194578,0.03924469258582424,30,0.7686532160951437,0.05487747625440379,30,0.7189867046533713,0.04789215293729219,30,0.7281767093749065,0.04943142300250064,30,0.48334635745077575,0.09301789969918858,30
diabetes,RandomForest,0.8242283950617284,0.028092155740249272,30,0.7582308042834359,0.02847121479952273,30,0.7383791654047405,0.031257886537966864,30,0.7439810066476734,0.03681527230412972,30,0.7377646098808752,0.03200362437936126,30,0.48209691960952666,0.06640381629973989,30
diabetes,RuleFit,0.8300997150997151,0.03764582856358669,30,0.7612952836637047,0.03596421772605963,30,0.7670440792038932,0.05451191220351612,30,0.6938755935422602,0.048324729045217785,30,0.7030361444928312,0.05261874680522755,30,0.4523491235488763,0.08982596144893631,30
