Algorithm,Metric,N_datasets,p_raw,p_holm,significant_at_0.05
RandomForest,MCC,20,0.7561664581298828,1.0,False
RuleFit,AUC_ROC,20,0.06372261047363281,1.0,False
RuleFit,Accuracy,20,4.76837158203125e-05,0.0030994415283203125,True
RuleFit,Precision,20,0.002712249755859375,0.12747573852539062,False
RuleFit,Recall,20,3.62396240234375e-05,0.0024280548095703125,True
RuleFit,F1_macro,20,6.29425048828125e-05,0.0038394927978515625,True
RuleFit,MCC,20,0.000133514404296875,0.007610321044921875,True
SVM_RBF,AUC_ROC,20,0.5958194732666016,1.0,False
SVM_RBF,Accuracy,20,0.0002613067626953125,0.014110565185546875,True
SVM_RBF,Precision,20,0.0003948211669921875,0.02053070068359375,True
SVM_RBF,Recall,20,0.7841262817382812,1.0,False
SVM_RBF,F1_macro,20,0.00830841064453125,0.3489532470703125,False
SVM_RBF,MCC,20,0.0072956085205078125,0.31371116638183594,False
TabPFN,AUC_ROC,20,1.9073486328125e-06,0.000171661376953125,True
TabPFN,Accuracy,20,3.814697265625e-06,0.000293731689453125,True
TabPFN,Precision,20,3.814697265625e-06,0.000293731689453125,True
TabPFN,Recall,20,6.29425048828125e-05,0.0038394927978515625,True
TabPFN,F1_macro,20,9.5367431640625e-06,0.0006771087646484375,True
TabPFN,MCC,20,3.814697265625e-06,0.000293731689453125,True
XGBoost,AUC_ROC,20,0.3299827575683594,1.0,False
XGBoost,Accuracy,20,0.7841262817382812,1.0,False
XGBoost,Precision,20,0.9272785186767578,1.0,False
XGBoost,Recall,20,0.5958194732666016,1.0,False
XGBoost,F1_macro,20,0.5216732025146484,1.0,False
XGBoost,MCC,20,0.5958194732666016,1.0,False
