Dataset,mode,sub_seed,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
magic,nonstrat,102,CBM_KE,4,OK,0.8935,0.9434515082928929,0.8949515925486429,0.8684322078104632,0.8792527616679106,0.7629230294622257,2193.3
magic,nonstrat,102,CatBoost,0,OK,0.886,0.9332054945054946,0.8888697680643989,0.8575824175824176,0.8698772737234275,0.7457961967969046,0.8
magic,nonstrat,102,CatBoost,1,OK,0.889,0.9417648351648352,0.8897865314305933,0.8631868131868132,0.874003235052073,0.7525033639085443,0.8
magic,nonstrat,102,CatBoost,2,OK,0.884,0.9273450549450549,0.8860943993053402,0.8557142857142856,0.8677005790380692,0.741186328711439,0.8
magic,nonstrat,102,CatBoost,3,OK,0.8795,0.9351582417582418,0.8798117501255356,0.8515934065934065,0.8628418318753875,0.7308606080254723,0.8
magic,nonstrat,102,CatBoost,4,OK,0.8835,0.9413111589184702,0.8865145049355576,0.8544952278664923,0.866970218171697,0.7403176277810354,0.8
magic,nonstrat,102,TabPFN,0,OK,0.902,0.9499351648351647,0.9035940595450522,0.8787912087912088,0.8891050209399142,0.7819920247061894,5.8
magic,nonstrat,102,TabPFN,1,OK,0.8965,0.9522296703296702,0.8969753368763007,0.872912087912088,0.8829264650946952,0.7695112779528205,8.0
magic,nonstrat,102,TabPFN,2,OK,0.901,0.9435857142857144,0.9047284211921909,0.8757142857142857,0.887447688755342,0.779903198291928,6.6
magic,nonstrat,102,TabPFN,3,OK,0.9015,0.9549549450549452,0.9024597160770191,0.8787362637362637,0.8886678257645821,0.7808356784147807,7.4
magic,nonstrat,102,TabPFN,4,OK,0.9025,0.9535734170584417,0.9051602577661209,0.8786441671910468,0.8895426641459736,0.7833557771045356,7.0
magic,nonstrat,103,CBM_KE,0,OK,0.875,0.9230355636581317,0.8735480235029727,0.8506108677314903,0.8599307946069994,0.7237955420137938,2262.4
magic,nonstrat,103,CBM_KE,1,OK,0.8805,0.9437174498653098,0.8839593069780436,0.8530298495279041,0.8649320322727672,0.7363398573139907,2401.3
magic,nonstrat,103,CBM_KE,2,OK,0.876,0.9352017632173275,0.87408804464522,0.8523196647710267,0.8612547050319785,0.7260814678374674,2361.7
magic,nonstrat,103,CBM_KE,3,OK,0.8845,0.9393751279672055,0.8860574915276445,0.8594157725298518,0.8700462517204104,0.7449970511575063,2310.4
magic,nonstrat,103,CBM_KE,4,OK,0.8715,0.9003413184869594,0.868675539777028,0.8474380420908643,0.856167087951587,0.7157985965533132,2158.8
magic,nonstrat,103,CatBoost,0,OK,0.8745,0.9314424097303474,0.8740858880244915,0.8489809801093848,0.8590058338442734,0.7226309150538097,0.8
magic,nonstrat,103,CatBoost,1,OK,0.889,0.947665097548366,0.8934305569819588,0.8627465919294713,0.874683321366155,0.7555543493518364,0.7
magic,nonstrat,103,CatBoost,2,OK,0.8675,0.9320823923158553,0.8665540303204866,0.8407417485238498,0.8509188601987392,0.7068246210195761,0.7
magic,nonstrat,103,CatBoost,3,OK,0.8905,0.9396561112781038,0.8934450628200035,0.8656387905084273,0.8767044275777853,0.7585743916084124,0.8
magic,nonstrat,103,CatBoost,4,OK,0.8645,0.9224442498616865,0.8653042352066915,0.8351422995325657,0.8466114864224279,0.6997968317051909,0.8
magic,nonstrat,103,TabPFN,0,OK,0.8995,0.9505744061386084,0.8990641191561752,0.8799134717422654,0.8880746302773717,0.7787421523364243,7.3
magic,nonstrat,103,TabPFN,1,OK,0.9045,0.9602133275285025,0.9079427494382648,0.8825637397621834,0.8929477509359365,0.7900989908460077,6.8
magic,nonstrat,103,TabPFN,2,OK,0.8885,0.9472580337949987,0.8900659660107335,0.8645288563576501,0.8748273613916504,0.7541625832509451,7.7
magic,nonstrat,103,TabPFN,3,OK,0.9055,0.9545155542776986,0.9083318766575716,0.8841553728801007,0.8941465566126898,0.7921183859404369,7.6
magic,nonstrat,103,TabPFN,4,OK,0.892,0.9400993678964586,0.891543415316771,0.8705429294579418,0.8793328447058403,0.7617969391417738,6.6
magic,strat,101,CBM_KE,0,OK,0.8875,0.9349587789306979,0.8849887112295507,0.8650529562147466,0.8735164534013533,0.7497766791349352,1846.7
magic,strat,101,CBM_KE,1,OK,0.885,0.9356694681127584,0.8819441796071008,0.8624739660733656,0.8707539875204546,0.7441634809659062,2327.0
magic,strat,101,CBM_KE,2,OK,0.885,0.9343204747579215,0.8870477011269113,0.8575879779467005,0.8692574162309528,0.7440526992488935,2323.6
magic,strat,101,CBM_KE,3,OK,0.8855,0.9336032051204717,0.8823697179358092,0.8631852036267083,0.871363888248361,0.7453080540802008,2642.8
magic,strat,101,CBM_KE,4,OK,0.854,0.9245997299382716,0.8411655595049501,0.8370598344556678,0.8390253314589707,0.6782129665782386,2146.3
magic,strat,101,CatBoost,0,OK,0.882,0.9359666853478484,0.880681625428882,0.856903610586198,0.8666785676758798,0.737201862719813,0.8
magic,strat,101,CatBoost,1,OK,0.886,0.9296308035503751,0.8901960925318002,0.8570560578027202,0.8698772737234275,0.7465169216285187,0.8
magic,strat,101,CatBoost,2,OK,0.884,0.9298007986479357,0.8866204559347663,0.8558397702982372,0.8679114870319825,0.7418219037812971,0.8
magic,strat,101,CatBoost,3,OK,0.8825,0.9369833657055181,0.882810472933129,0.8559861854306524,0.8667812159246899,0.7383095285918192,0.8
magic,strat,101,CatBoost,4,OK,0.8685,0.9388415404040403,0.8680403996674592,0.8391642115600448,0.8504396533953185,0.7066148370235587,0.8
magic,strat,101,TabPFN,0,OK,0.9015,0.9509756073486139,0.8983190883190884,0.8833389449994571,0.8899868793996523,0.7815144761023557,7.1
magic,strat,101,TabPFN,1,OK,0.896,0.9482359444214737,0.898541144531678,0.8709550763277988,0.8821330740260962,0.7690015882675846,7.5
magic,strat,101,TabPFN,2,OK,0.9015,0.9487250916054226,0.90152357780095,0.8800816195816805,0.8891736432420816,0.7813110308982357,7.2
magic,strat,101,TabPFN,3,OK,0.8995,0.9534816641094286,0.8995492191417058,0.8775624019100868,0.8868383102426249,0.7768005222975641,6.7
magic,strat,101,TabPFN,4,OK,0.8915,0.9515379489337822,0.8903154022860549,0.8689148428731762,0.877922236464628,0.7589285745189478,6.4
magic,strat,102,CBM_KE,0,OK,0.888,0.9344049239354194,0.8921857711055953,0.8595752754743138,0.8722626280367565,0.7510534113693927,2302.0
magic,strat,102,CBM_KE,1,OK,0.8795,0.9242819900613187,0.8807016668330172,0.8513930275688179,0.862950404822326,0.7315077889098635,2251.8
magic,strat,102,CBM_KE,2,OK,0.8895,0.9424330795105458,0.8892823749415615,0.8652920460938965,0.8752001526962838,0.7541929600591466,2225.7
magic,strat,102,CBM_KE,3,OK,0.8895,0.9402834640833261,0.8892823749415615,0.8652920460938965,0.8752001526962838,0.7541929600591466,2178.1
magic,strat,102,CBM_KE,4,OK,0.876,0.940342005120651,0.8764208049488605,0.8478710718294051,0.859136369626166,0.7237289793187711,2329.4
magic,strat,102,CatBoost,0,OK,0.8785,0.924660366246212,0.8802534840337979,0.8496448199203546,0.8615936269276149,0.7292562264364554,0.8
magic,strat,102,CatBoost,1,OK,0.8865,0.9345310493303838,0.8926795526662024,0.8561386326471747,0.8699748054705667,0.7479260898111404,0.8
magic,strat,102,CatBoost,2,OK,0.8805,0.9326983925044225,0.8815228941725649,0.8528155026755035,0.8641949387897041,0.7337770552142018,0.8
magic,strat,102,CatBoost,3,OK,0.8865,0.9373090982472958,0.8844612913409222,0.8633047485662833,0.8722004797267455,0.7474666889810737,0.8
magic,strat,102,CatBoost,4,OK,0.873,0.9355961963383838,0.8721736993345433,0.8452318322109988,0.8559541957026713,0.7168994577261438,0.8
magic,strat,102,TabPFN,0,OK,0.899,0.9479617587802469,0.9040781447171083,0.8726166413136344,0.8850831042580692,0.776057320338475,6.9
magic,strat,102,TabPFN,1,OK,0.8985,0.9478937607412224,0.9024686184543849,0.8728826013856246,0.8847415727211123,0.774786539442573,7.6
