Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
42,wine-quality,TabICLv2,0,OK,0.7224489795918367,nan,0.7930813392932765,0.5544335037183546,0.6247326998575083,0.5776816791629257,2.8
42,wine-quality,TabICLv2,1,OK,0.7306122448979592,nan,0.6179372311134674,0.46321613258559274,0.5036199666450738,0.5893491125512776,3.2
42,wine-quality,TabICLv2,2,OK,0.7224489795918367,nan,0.5275774543904252,0.40255122947820726,0.43664577169847296,0.5766223480689906,3.3
42,wine-quality,TabICLv2,3,OK,0.7061224489795919,0.9427111180417153,0.6359787299041509,0.47280253271632583,0.5166813085197879,0.5510273567432447,1.8
42,wine-quality,TabICLv2,4,OK,0.7224489795918367,0.9230038650943552,0.592045520391465,0.36914962432203813,0.40138170751167535,0.5741645401567779,1.5
42,wine-quality,TabICLv2,5,OK,0.7040816326530612,0.924921599867483,0.5341137799730605,0.40177590338750696,0.44163492227942286,0.5469574078059068,1.5
42,wine-quality,TabICLv2,6,OK,0.7244897959183674,0.9335899690455165,0.6012130141051684,0.4151639858932365,0.4636997915602707,0.5782296895597062,1.0
42,wine-quality,TabICLv2,7,OK,0.710204081632653,0.8941741733152995,0.5541984653419916,0.38902055841016353,0.4281989909154551,0.5556680759092101,1.8
42,wine-quality,TabICLv2,8,OK,0.6993865030674846,nan,0.6691098081023453,0.4399744829438625,0.4812032115279677,0.5375040020950581,2.4
42,wine-quality,TabICLv2,9,OK,0.7096114519427403,nan,0.6198164697589478,0.4919998229677924,0.5358787683315985,0.5558858556231943,2.0
43,balance-scale,TabICLv2,0,OK,0.9682539682539683,1.0,0.9047619047619048,0.9770114942528737,0.9327485380116959,0.9468641529479986,1.4
43,balance-scale,TabICLv2,1,OK,0.9523809523809523,1.0,0.875,0.9655172413793104,0.9053242079557869,0.9221475326454103,1.3
43,balance-scale,TabICLv2,2,OK,0.9841269841269841,0.9985125084516565,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,1.8
43,balance-scale,TabICLv2,3,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.4
43,balance-scale,TabICLv2,4,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.6
43,balance-scale,TabICLv2,5,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.9
43,balance-scale,TabICLv2,6,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.6
43,balance-scale,TabICLv2,7,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.6
43,balance-scale,TabICLv2,8,OK,0.967741935483871,1.0,0.9047619047619048,0.9766009852216749,0.9325358851674642,0.9461167392853528,1.6
43,balance-scale,TabICLv2,9,OK,0.967741935483871,1.0,0.9047619047619048,0.9761904761904763,0.9320987654320988,0.946499724464234,1.7
43,bank,TabICLv2,0,OK,0.899,0.9287784090909091,0.763229102401749,0.7303030303030302,0.7451239177229725,0.4924325738497383,2.5
43,bank,TabICLv2,1,OK,0.918,0.9394554924242424,0.8287364510711923,0.7446969696969697,0.7781169161498414,0.5672417946733365,2.2
43,bank,TabICLv2,2,OK,0.901,0.9359232954545454,0.7697339656274174,0.727840909090909,0.7461792282310231,0.4958081562106327,2.1
43,bank,TabICLv2,3,OK,0.906,0.935378787878788,0.7933205802646262,0.7090909090909091,0.74118657694468,0.495300582606577,2.3
43,bank,TabICLv2,4,OK,0.907,0.9305935557874745,0.7892777953753564,0.7404215910266174,0.7615623053079308,0.5274414766125828,2.2
43,bank,TabICLv2,5,OK,0.919,0.9493742889647325,0.8248525073746313,0.7650645455485667,0.7906495292198981,0.5868794841790571,2.4
43,bank,TabICLv2,6,OK,0.914,0.9384161189932211,0.8059659490643027,0.7657838076702489,0.7838240025740026,0.5703360236202929,2.5
43,bank,TabICLv2,7,OK,0.912,0.9339454112957061,0.8067361382793328,0.7432657320960145,0.7697564651338029,0.5463273423098142,1.9
43,bank,TabICLv2,8,OK,0.912,0.9353087185851692,0.8053503925559755,0.7468291352870937,0.7716326191662515,0.5490696617157648,2.4
43,bank,TabICLv2,9,OK,0.905,0.9301751614813979,0.7836214308339744,0.7357205314077793,0.7564346129489614,0.517128202266398,2.2
43,blood,TabICLv2,0,OK,0.8,0.7056530214424951,0.7270471464019852,0.6783625730994152,0.6950393060449986,0.4024759036123166,1.4
43,blood,TabICLv2,1,OK,0.7866666666666666,0.7509746588693957,0.7076923076923076,0.631578947368421,0.648711943793911,0.33062326126679026,1.9
43,blood,TabICLv2,2,OK,0.7733333333333333,0.6515594541910331,0.6792929292929293,0.6038011695906433,0.6160794941282746,0.27284292741384053,1.8
43,blood,TabICLv2,3,OK,0.8533333333333334,0.7660818713450293,0.8686868686868687,0.7134502923976608,0.7515808491418248,0.5610572873580383,1.6
43,blood,TabICLv2,4,OK,0.7733333333333333,0.8021442495126706,0.6827731092436975,0.5847953216374269,0.592,0.24898437368631707,1.7
43,blood,TabICLv2,5,OK,0.7866666666666666,0.8226120857699805,0.7693661971830985,0.5745614035087719,0.5738636363636364,0.28343832993998846,1.8
43,blood,TabICLv2,6,OK,0.76,0.7309941520467836,0.6413043478260869,0.5570175438596491,0.5535714285714286,0.17951965741648493,1.7
43,blood,TabICLv2,7,OK,0.8,0.7860623781676415,0.7424242424242424,0.6403508771929824,0.6612466124661247,0.36891438072857313,1.7
43,blood,TabICLv2,8,OK,0.7567567567567568,0.6496388028895769,0.6320346320346321,0.5944272445820433,0.6035714285714285,0.2233174108074361,1.7
43,blood,TabICLv2,9,OK,0.8513513513513513,0.8586171310629515,0.8617424242424243,0.697110423116615,0.7352845528455285,0.5340531894920367,1.7
43,car,TabICLv2,0,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.1
43,car,TabICLv2,1,OK,0.9884393063583815,1.0,0.9375,0.9871794871794872,0.9577067669172933,0.9751263362289339,1.1
43,car,TabICLv2,2,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.8
43,car,TabICLv2,3,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.9
43,car,TabICLv2,4,OK,0.9884393063583815,1.0,0.9875,0.9958677685950413,0.9915064102564103,0.9754760122914541,1.8
43,car,TabICLv2,5,OK,0.9942196531791907,0.9999512670565303,0.96875,0.993421052631579,0.98,0.9875168595946126,1.9
43,car,TabICLv2,6,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.7
43,car,TabICLv2,7,OK,0.9884393063583815,0.9998230681245035,0.9913549369290997,0.9913549369290997,0.9913549369290997,0.9748290411756148,1.8
43,car,TabICLv2,8,OK,0.9941860465116279,1.0,0.9935897435897436,0.9979338842975207,0.9957159023549065,0.9873478038914031,2.6
43,car,TabICLv2,9,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.6
43,credit-g,TabICLv2,0,OK,0.76,0.8119047619047619,0.7132936507936507,0.7047619047619047,0.7085964060223409,0.41796848785585977,1.8
43,credit-g,TabICLv2,1,OK,0.74,0.7738095238095237,0.6875,0.6428571428571428,0.6533333333333333,0.3273268353539886,1.8
43,credit-g,TabICLv2,2,OK,0.79,0.7995238095238095,0.7622061482820977,0.7071428571428571,0.7236478484011054,0.46610784466935273,1.8
43,credit-g,TabICLv2,3,OK,0.77,0.790952380952381,0.7320675105485233,0.6833333333333333,0.6973285958678774,0.4125322303395421,1.9
43,credit-g,TabICLv2,4,OK,0.71,0.7323809523809524,0.6416515973477999,0.6119047619047618,0.6183708382681932,0.2518053873501101,2.1
43,credit-g,TabICLv2,5,OK,0.82,0.8680952380952381,0.8654485049833887,0.7095238095238096,0.7377622377622377,0.5534262839761064,1.8
43,credit-g,TabICLv2,6,OK,0.77,0.7904761904761906,0.7445074415308293,0.6642857142857144,0.6801557502433597,0.4008445069104218,2.2
43,credit-g,TabICLv2,7,OK,0.76,0.8476190476190476,0.7138157894736843,0.6857142857142857,0.69558599695586,0.3985405706652278,1.9
43,credit-g,TabICLv2,8,OK,0.77,0.8357142857142857,0.7266666666666667,0.7023809523809523,0.7115987460815048,0.4283597360771242,2.1
43,credit-g,TabICLv2,9,OK,0.76,0.790952380952381,0.7130977130977132,0.6952380952380952,0.7023809523809523,0.40794505318629176,1.9
43,diabetes,TabICLv2,0,OK,0.7142857142857143,0.8244444444444445,0.6901960784313725,0.6437037037037037,0.65,0.3306471285253108,1.1
43,diabetes,TabICLv2,1,OK,0.8181818181818182,0.8637037037037038,0.8003703703703704,0.8003703703703704,0.8003703703703704,0.6007407407407407,1.6
43,diabetes,TabICLv2,2,OK,0.6883116883116883,0.7985185185185185,0.6654978962131837,0.6748148148148148,0.6681034482758621,0.3401851500506696,1.7
43,diabetes,TabICLv2,3,OK,0.8051948051948052,0.8866666666666667,0.8309426229508197,0.7392592592592593,0.7580138277812697,0.5627826821234976,1.7
43,diabetes,TabICLv2,4,OK,0.7142857142857143,0.8325925925925926,0.6839774557165862,0.6692592592592592,0.6742307692307692,0.3529299526817895,1.9
43,diabetes,TabICLv2,5,OK,0.7922077922077922,0.8414814814814815,0.8204301075268817,0.7207407407407407,0.7380952380952381,0.5319096889176549,1.4
43,diabetes,TabICLv2,6,OK,0.7272727272727273,0.8333333333333333,0.6998491704374057,0.6962962962962963,0.6979263964132263,0.3961295342422729,1.7
43,diabetes,TabICLv2,7,OK,0.7792207792207793,0.8903703703703703,0.7914959016393442,0.7107407407407407,0.7257490048187722,0.49570177419236866,1.7
43,diabetes,TabICLv2,8,OK,0.7368421052631579,0.8076923076923077,0.7089285714285715,0.6799999999999999,0.6882690730106644,0.38785122331710054,1.8
43,diabetes,TabICLv2,9,OK,0.8157894736842105,0.8769230769230769,0.7953846153846154,0.7953846153846154,0.7953846153846154,0.5907692307692308,1.7
43,kr-vs-kp,TabICLv2,0,OK,0.990625,0.9998825877656451,0.9907581453634086,0.9904700403115339,0.9906043552728163,0.9812281433787039,2.1
