Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,Train time [s],wall_s,Train size,Test size,Number of classes,n_trials,num_concepts,rule_budget,concept_dropout_p,lambda_concept,kd_alpha_hard,kd_temperature
43,spambase,CBM,5,OK,0.967391304347826,0.9880591694885048,0.9671886206072198,0.9643854333749183,0.9657396511402738,0.9315698364556766,1211.9633338451385,1212.0,4141,460,2,40,2,4,0.0,1.6676090398726733,,
43,spambase,CBM,6,OK,0.9456521739130435,0.9707320937048257,0.9451824583866837,0.9406423889581972,0.9427835077192511,0.8858132127842563,1172.5611820220947,1172.6,4141,460,2,40,6,18,0.0,0.9537733851814102,,
43,spambase,CBM,7,OK,0.95,0.9846333590764174,0.9439548546691403,0.9549000970316244,0.9483173840194226,0.8987883098186195,1019.9971067905426,1020.0,4141,460,2,40,12,13,0.0,4.846881957591879,,
43,spambase,CBM,9,OK,0.9369565217391305,0.9764408253616885,0.9320857494289229,0.9374061190607953,0.934504784489319,0.8694755908228371,1081.1066620349884,1081.1,4141,460,2,40,12,10,0.0,2.825282688746488,,
43,tic-tac-toe,CBM_KE,0,OK,1.0,1.0,1.0,1.0,1.0,1.0,278.91795229911804,278.9,862,96,2,40,12,9,0.0,3.36721856527679,0.5780241249271592,3.438239485036183
43,tic-tac-toe,CBM_KE,1,OK,0.9583333333333334,0.9919354838709677,0.9544592030360531,0.9544592030360531,0.9544592030360531,0.9089184060721063,292.3225841522217,292.3,862,96,2,40,10,2,0.0,0.26955096332413014,0.3523237882554702,4.297009650093849
43,tic-tac-toe,CBM_KE,3,OK,0.9791666666666666,0.9971139971139972,0.9846153846153847,0.9696969696969697,0.9765625,0.9541957401338105,257.28473711013794,257.3,862,96,2,40,6,18,0.0,1.8989910650938235,0.4586743914175978,3.3890575049507006
43,tic-tac-toe,CBM_KE,4,OK,0.9791666666666666,0.9947089947089948,0.9846153846153847,0.9696969696969697,0.9765625,0.9541957401338105,283.3341987133026,283.4,862,96,2,40,12,9,0.0,3.36721856527679,0.5780241249271592,3.438239485036183
43,tic-tac-toe,CBM_KE,5,OK,0.9895833333333334,0.9985569985569985,0.9921875,0.9848484848484849,0.9883706844336766,0.9770084209183943,246.72044110298157,246.7,862,96,2,40,3,6,0.0,2.054697767833935,0.7902572859607933,1.306650799985789
43,tic-tac-toe,CBM_KE,6,OK,0.9791666666666666,0.9985569985569986,0.9846153846153847,0.9696969696969697,0.9765625,0.9541957401338105,274.28389525413513,274.3,862,96,2,40,3,6,0.0,2.054697767833935,0.7902572859607933,1.306650799985789
